"","V1","V2"
"c.25..61.",25,61
"c.25..64.",25,64
"c.25..68.",25,68
"c.25..138.",25,138
"c.25..153.",25,153
"c.25..156.",25,156
"c.25..217.",25,217
"c.25..226.",25,226
"c.25..233.",25,233
"c.25..276.",25,276
"c.25..297.",25,297
"c.25..333.",25,333
"c.25..339.",25,339
"c.25..358.",25,358
"c.25..383.",25,383
"c.25..406.",25,406
"c.25..433.",25,433
"c.25..434.",25,434
"c.25..450.",25,450
"c.25..452.",25,452
"c.25..464.",25,464
"c.25..468.",25,468
"c.25..469.",25,469
"c.25..476.",25,476
"c.25..497.",25,497
"c.25..511.",25,511
"c.26..37.",26,37
"c.26..49.",26,49
"c.26..51.",26,51
"c.26..52.",26,52
"c.26..58.",26,58
"c.26..63.",26,63
"c.26..65.",26,65
"c.26..115.",26,115
"c.26..118.",26,118
"c.26..148.",26,148
"c.26..206.",26,206
"c.26..232.",26,232
"c.26..254.",26,254
"c.26..259.",26,259
"c.26..268.",26,268
"c.26..273.",26,273
"c.26..293.",26,293
"c.26..301.",26,301
"c.26..360.",26,360
"c.26..404.",26,404
"c.26..413.",26,413
"c.26..414.",26,414
"c.26..428.",26,428
"c.26..453.",26,453
"c.26..470.",26,470
"c.26..480.",26,480
"c.26..510.",26,510
"c.27..38.",27,38
"c.27..53.",27,53
"c.27..54.",27,54
"c.27..60.",27,60
"c.27..68.",27,68
"c.27..74.",27,74
"c.27..90.",27,90
"c.27..108.",27,108
"c.27..156.",27,156
"c.27..182.",27,182
"c.27..224.",27,224
"c.27..278.",27,278
"c.27..291.",27,291
"c.27..297.",27,297
"c.27..298.",27,298
"c.27..333.",27,333
"c.27..339.",27,339
"c.27..358.",27,358
"c.27..406.",27,406
"c.27..409.",27,409
"c.27..429.",27,429
"c.27..433.",27,433
"c.27..456.",27,456
"c.27..468.",27,468
"c.27..469.",27,469
"c.27..484.",27,484
"c.27..490.",27,490
"c.28..41.",28,41
"c.28..66.",28,66
"c.28..74.",28,74
"c.28..77.",28,77
"c.28..111.",28,111
"c.28..140.",28,140
"c.28..166.",28,166
"c.28..174.",28,174
"c.28..191.",28,191
"c.28..224.",28,224
"c.28..236.",28,236
"c.28..240.",28,240
"c.28..250.",28,250
"c.28..252.",28,252
"c.28..285.",28,285
"c.28..332.",28,332
"c.28..342.",28,342
"c.28..353.",28,353
"c.28..372.",28,372
"c.28..399.",28,399
"c.28..401.",28,401
"c.28..417.",28,417
"c.28..429.",28,429
"c.28..442.",28,442
"c.28..456.",28,456
"c.28..457.",28,457
"c.28..461.",28,461
"c.28..462.",28,462
"c.29..37.",29,37
"c.29..49.",29,49
"c.29..51.",29,51
"c.29..52.",29,52
"c.29..63.",29,63
"c.29..65.",29,65
"c.29..115.",29,115
"c.29..118.",29,118
"c.29..135.",29,135
"c.29..180.",29,180
"c.29..183.",29,183
"c.29..206.",29,206
"c.29..232.",29,232
"c.29..239.",29,239
"c.29..259.",29,259
"c.29..273.",29,273
"c.29..293.",29,293
"c.29..301.",29,301
"c.29..328.",29,328
"c.29..360.",29,360
"c.29..371.",29,371
"c.29..404.",29,404
"c.29..414.",29,414
"c.29..428.",29,428
"c.29..445.",29,445
"c.29..453.",29,453
"c.29..470.",29,470
"c.29..480.",29,480
"c.29..510.",29,510
"c.30..35.",30,35
"c.30..106.",30,106
"c.30..112.",30,112
"c.30..125.",30,125
"c.30..145.",30,145
"c.30..189.",30,189
"c.30..214.",30,214
"c.30..222.",30,222
"c.30..223.",30,223
"c.30..225.",30,225
"c.30..229.",30,229
"c.30..262.",30,262
"c.30..274.",30,274
"c.30..286.",30,286
"c.30..291.",30,291
"c.30..306.",30,306
"c.30..309.",30,309
"c.30..327.",30,327
"c.30..340.",30,340
"c.30..383.",30,383
"c.30..386.",30,386
"c.30..434.",30,434
"c.30..460.",30,460
"c.30..476.",30,476
"c.30..511.",30,511
"c.31..88.",31,88
"c.31..117.",31,117
"c.31..127.",31,127
"c.31..134.",31,134
"c.31..139.",31,139
"c.31..143.",31,143
"c.31..160.",31,160
"c.31..178.",31,178
"c.31..190.",31,190
"c.31..231.",31,231
"c.31..241.",31,241
"c.31..249.",31,249
"c.31..253.",31,253
"c.31..258.",31,258
"c.31..280.",31,280
"c.31..288.",31,288
"c.31..325.",31,325
"c.31..337.",31,337
"c.31..376.",31,376
"c.31..385.",31,385
"c.31..389.",31,389
"c.31..407.",31,407
"c.31..408.",31,408
"c.31..419.",31,419
"c.31..454.",31,454
"c.31..478.",31,478
"c.31..488.",31,488
"c.31..508.",31,508
"c.32..47.",32,47
"c.32..56.",32,56
